"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "JSON with Comments", "JSON", "XML", "JavaScript", "HTML", "Markdown", "SQL", "comment", "blank", "total"
"/Users/pavel/Documents/react-landing/client/src/shared/Input/Input.props.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/pavel/Documents/react-landing/client/src/shared/Input/Input.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"/Users/pavel/Documents/react-landing/client/src/shared/WidgetContainer/WidgetContainer.module.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/pavel/Documents/react-landing/client/src/shared/WidgetContainer/WidgetContainer.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/pavel/Documents/react-landing/client/src/shared/api/ApiCall.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 29, 147
"/Users/pavel/Documents/react-landing/client/src/shared/api/model/ApiRequest.props.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/pavel/Documents/react-landing/client/src/shared/api/model/ApiResult.props.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/pavel/Documents/react-landing/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/pavel/Documents/react-landing/client/src/widgets/Header/Header.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"/Users/pavel/Documents/react-landing/client/src/widgets/Header/ui/Header.module.css", "CSS", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/pavel/Documents/react-landing/client/src/widgets/LoginForm/LoginForm.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"/Users/pavel/Documents/react-landing/client/src/widgets/RegisterForm/RegisterForm.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 93
"/Users/pavel/Documents/react-landing/client/src/widgets/Sidebar/Sidebar.tsx", "TypeScript JSX", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 114
"/Users/pavel/Documents/react-landing/client/src/widgets/Sidebar/ui/Sidebar.module.css", "CSS", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/pavel/Documents/react-landing/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 3, 36
"/Users/pavel/Documents/react-landing/client/tsconfig.node.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/pavel/Documents/react-landing/client/vite.config.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"/Users/pavel/Documents/react-landing/server/database/db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"/Users/pavel/Documents/react-landing/server/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 7, 31
"/Users/pavel/Documents/react-landing/server/mcu.db", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"/Users/pavel/Documents/react-landing/server/middleware/authorization.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"/Users/pavel/Documents/react-landing/server/middleware/validInfo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"/Users/pavel/Documents/react-landing/server/package-lock.json", "JSON", 0, 0, 0, 0, 2584, 0, 0, 0, 0, 0, 0, 1, 2585
"/Users/pavel/Documents/react-landing/server/package.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/pavel/Documents/react-landing/server/routes/dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 6, 53
"/Users/pavel/Documents/react-landing/server/routes/jwtAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 9, 16, 113
"/Users/pavel/Documents/react-landing/server/utils/jwtGenerator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"Total", "-", 594, 356, 122, 31, 5540, 1, 24197, 13, 22, 9, 558, 262, 31705
